Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_062410_675,-7,35,35,4.4,19.104527835659496,-83.27589416503906,-83.27589416503906,0.0902752876281738,0.1581544876098632,35,35.0,YOLO,1,32,0,19.104527835659496,0.0
20250721_062410_480,-7,35,35,4.4,18.92748310028716,-83.46068115234375,-83.46068115234375,0.0920600891113281,0.1017665863037109,35,35.0,YOLO,1,32,0,18.92748310028716,0.0
20250721_062411_821,-7,35,35,4.4,19.15007594829113,-83.16809997558593,-83.16809997558593,0.0935227870941162,0.1016931533813476,35,35.0,YOLO,1,32,0,19.15007594829113,0.0
20250721_062413_616,-6,34,34,2.9,19.35423363253895,-83.03507995605469,-83.03507995605469,0.0973384380340576,0.1581089496612548,34,34.0,YOLO,1,32,0,19.35423363253895,0.0
20250721_062413_421,-6,34,34,2.9,18.89680254964921,-83.6782054901123,-83.6782054901123,0.0916869640350341,0.1018080711364746,34,34.0,YOLO,1,32,0,18.89680254964921,0.0
20250721_062413_873,-6,34,34,2.9,19.14976125829241,-83.17370071411133,-83.17370071411133,0.0897417068481445,0.1017060279846191,34,34.0,YOLO,1,32,0,19.14976125829241,0.0
20250721_062414_066,-6,34,34,2.9,18.97504699211069,-83.37576637268066,-83.37576637268066,0.0903809070587158,0.1581101417541504,34,34.0,YOLO,1,32,0,18.97504699211069,0.0
20250721_062415_208,-5,34,34,2.9,18.29211422899336,-82.58785781860352,-82.58785781860352,0.0904619693756103,0.4197421073913574,34,33.0,NeighborSearch,2,32,0,19.71900064788904,-1.0
20250721_062414_508,-5,34,34,2.9,17.54472716105792,-82.31903076171875,-82.31903076171875,0.0901746749877929,0.4197919368743896,34,33.0,NeighborSearch,2,32,0,20.012257303707912,-1.0
20250721_062415_019,-5,33,33,1.5,20.138580299125863,-82.31903076171875,-82.31903076171875,0.0859894752502441,0.1017639636993408,33,33.0,YOLO,1,32,0,20.138580299125863,0.0
20250721_062415_720,-5,34,34,2.9,19.71536950474388,-82.66956329345703,-82.66956329345703,0.0899996757507324,0.1017775535583496,34,34.0,YOLO,1,32,0,19.71536950474388,0.0
20250721_062417_294,-4,33,33,1.5,19.26192111930817,-83.09739570617675,-83.09739570617675,0.0938460826873779,0.1016907691955566,33,33.0,YOLO,1,32,0,19.26192111930817,0.0
20250721_062417_741,-4,33,33,1.5,19.34073333430748,-82.9011386871338,-82.9011386871338,0.0925850868225097,0.1018550395965576,33,33.0,YOLO,1,32,0,19.34073333430748,0.0
20250721_062416_416,-4,34,34,2.9,19.46590475718635,-82.8545150756836,-82.8545150756836,0.091456651687622,0.1018750667572021,34,34.0,YOLO,1,32,0,19.46590475718635,0.0
20250721_062417_491,-4,33,33,1.5,19.38191081720271,-83.08234748840331,-83.08234748840331,0.0900166034698486,0.1581254005432129,33,33.0,YOLO,1,32,0,19.38191081720271,0.0
20250721_062419_093,-3,32,32,0.0,19.565428337323056,-82.80654258728028,-82.80654258728028,0.0911400318145752,0.1580462455749511,32,32.0,YOLO,1,32,0,19.565428337323056,0.0
20250721_062418_386,-3,33,33,1.5,18.18432834394629,-83.00995635986328,-83.00995635986328,0.0962164402008056,0.4196045398712158,33,32.0,NeighborSearch,2,32,0,19.35154387210318,-1.0
20250721_062419_986,-3,32,32,0.0,19.710985748513338,-82.55425262451172,-82.55425262451172,0.0917809009552002,0.1581225395202636,32,32.0,YOLO,1,32,0,19.710985748513338,0.0
20250721_062419_789,-3,32,32,0.0,20.06546292120609,-82.29081153869629,-82.29081153869629,0.0937402248382568,0.101783275604248,32,32.0,YOLO,1,32,0,20.06546292120609,0.0
20250721_062421_568,-2,31,31,-1.5,20.39495512424261,-82.04146575927734,-82.04146575927734,0.0878660678863525,0.1582047939300537,31,31.0,YOLO,1,32,0,20.39495512424261,0.0
20250721_062420_428,-2,32,32,0.0,18.211215018332325,-82.5537036895752,-82.5537036895752,0.0856516361236572,0.419565200805664,32,31.0,NeighborSearch,2,32,0,19.823210621545783,-1.0
20250721_062421_374,-2,31,31,-1.5,20.3411112566522,-82.04146575927734,-82.04146575927734,0.0900678634643554,0.101802110671997,31,31.0,YOLO,1,32,0,20.3411112566522,0.0
20250721_062421_815,-2,32,32,0.0,20.237846728853327,-82.18535537719727,-82.18535537719727,0.0950431823730468,0.1017348766326904,32,32.0,YOLO,1,32,0,20.237846728853327,0.0
20250721_062423_165,-1,31,31,-1.5,19.34482108375822,-82.99835968017578,-82.99835968017578,0.0946471691131591,0.1580686569213867,31,31.0,YOLO,1,32,0,19.34482108375822,0.0
20250721_062423_419,-1,31,31,-1.5,19.433282310071192,-82.95158767700195,-82.95158767700195,0.0941340923309326,0.1018252372741699,31,31.0,YOLO,1,32,0,19.433282310071192,0.0
