Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_014829_330,-12,45,45,18.9,13.412170455381812,-88.9906234741211,-88.9906234741211,0.1026201248168945,0.2610955238342285,45,45.0,OffsetFailed,2,42,14.5,13.099029895257644,-3.0,[],0.1022922992706298,0.0504629611968994,0.0505025386810302,0.0567247867584228,0.0006828308105468
20250724_014829_695,-11,45,45,18.9,12.582038989617786,-91.07400512695312,-91.07400512695312,0.104421854019165,0.2609658241271972,45,45.0,OffsetFailed,2,42,14.5,10.800501051916411,-3.0,[],0.1040787696838378,0.0504827499389648,0.0504703521728515,0.0567641258239746,0.0006549358367919
20250724_014830_062,-10,44,44,17.4,10.271093913901552,-90.30890426635744,-90.30890426635744,0.1048605442047119,0.2610466480255127,44,44.0,OffsetFailed,2,41,13.1,11.542267176733702,-3.0,[],0.1045241355895996,0.0504775047302246,0.0504357814788818,0.056727647781372,0.0006866455078125
20250724_014830_430,-10,43,43,16.0,11.836204893887851,-90.62818145751952,-90.62818145751952,0.1019527912139892,0.2626242637634277,43,43.0,OffsetFailed,2,41,13.1,11.492464123307483,-2.0,[],0.1015589237213134,0.0505003929138183,0.0504822731018066,0.0567562580108642,0.0006980895996093
20250724_014830_796,-9,43,43,16.0,10.804872753582089,-88.77642250061035,-88.77642250061035,0.1040940284729003,0.2609796524047851,43,43.0,OffsetFailed,2,40,11.6,13.19006621213248,-3.0,[],0.1037640571594238,0.0504660606384277,0.0504889488220214,0.0567777156829834,0.0006687641143798
20250724_014831_163,-8,42,42,14.5,12.59076513401098,-89.4666244506836,-89.4666244506836,0.1020467281341552,0.261836290359497,42,42.0,OffsetFailed,2,40,11.6,12.512543198006014,-2.0,[],0.101715087890625,0.05043625831604,0.0505342483520507,0.0568165779113769,0.0010106563568115
20250724_014831_528,-7,42,42,14.5,12.762898252857669,-89.68978118896484,-89.68978118896484,0.1032271385192871,0.2610869407653808,42,42.0,OffsetFailed,2,40,11.6,12.45223527143908,-2.0,[],0.1028838157653808,0.0504591464996337,0.0504882335662841,0.0567777156829834,0.0006814002990722
20250724_014831_894,-7,41,41,13.1,10.48481535869226,-86.60427856445312,-86.60427856445312,0.1049287319183349,0.2610936164855957,41,41.0,OffsetFailed,2,38,8.7,15.46027153791131,-3.0,[],0.1045582294464111,0.0504615306854248,0.0504825115203857,0.0567469596862793,0.0006513595581054
20250724_014832_262,-6,41,41,13.1,8.194289431884812,-89.74706268310547,-89.74706268310547,0.1033403873443603,0.2611489295959472,41,41.0,OffsetFailed,2,38,8.7,12.398949028807849,-3.0,[],0.1029908657073974,0.0504755973815918,0.0504732131958007,0.0567426681518554,0.0006837844848632
20250724_014832_628,-5,40,40,11.6,12.506642855915215,-88.12146949768066,-88.12146949768066,0.1015634536743164,0.2610013484954834,40,40.0,OffsetFailed,2,37,7.3,13.900231039155685,-3.0,[],0.1012427806854248,0.0504450798034668,0.050469160079956,0.0567741394042968,0.0006957054138183
