Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250713_194049_312,-90,45,45,18.9,19,18.9,13.829383770901046,0.10094046592712402,0.11164236068725586
20250713_194049_526,-90,45,45,18.9,19,18.9,13.323923658687221,0.10205316543579102,0.16931653022766113
20250713_194049_799,-90,45,45,18.9,19,18.9,12.488508140606484,0.10576367378234863,0.10860657691955566
20250713_194050_014,-90,45,45,18.9,19,18.9,11.964527169328548,0.10067033767700195,0.1650090217590332
20250713_194050_281,-90,45,45,18.9,19,18.9,11.3524334910595,0.10413765907287598,0.10822224617004395
20250713_194050_494,-90,46,46,20.3,18,20.3,11.984378444127728,0.10259294509887695,0.16420626640319824
20250713_194050_762,-90,46,46,20.3,18,20.3,12.092292066491538,0.10250544548034668,0.10870647430419922
20250713_194050_974,-90,47,47,21.8,17,21.8,8.51864666376818,0.10077857971191406,0.21105146408081055
20250713_194051_287,-90,47,47,21.8,17,21.8,8.350659604691657,0.10231876373291016,0.11198616027832031
20250713_194051_502,-90,48,48,23.2,16,23.2,17.68893000040299,0.09960746765136719,0.17389583587646484
20250713_194051_777,-90,48,48,23.2,16,23.2,18.94845237303035,0.10165858268737793,0.1073462963104248
20250713_194051_987,-90,48,48,23.2,16,23.2,18.966652221099324,0.10056614875793457,0.19081330299377441
20250713_194052_279,-90,48,48,23.2,16,23.2,19.075082366505157,0.13326096534729004,0.10884547233581543
20250713_194052_522,-90,47,47,21.8,17,21.8,9.118487094265305,0.10019874572753906,0.16547012329101562
20250713_194052_789,-90,48,48,23.2,16,23.2,10.395572905921796,0.10303449630737305,0.11109423637390137
20250713_194053_004,-90,48,48,23.2,16,23.2,16.94671209000785,0.10085439682006836,0.17702937126159668
20250713_194053_283,-90,49,49,24.7,15,24.7,17.047492008535727,0.10227227210998535,0.10942292213439941
20250713_194053_496,-90,50,50,26.1,14,26.1,8.718955641974134,0.10345220565795898,0.1668081283569336
20250713_194053_767,-90,50,50,26.1,14,26.1,9.241883600334305,0.10588979721069336,0.12457728385925293
20250713_194053_998,-90,51,51,27.6,13,27.6,16.07993404600829,0.1003561019897461,0.16503596305847168
20250713_194054_265,-90,51,51,27.6,13,27.6,15.87340883628302,0.10526609420776367,0.10906028747558594
20250713_194054_480,-90,51,51,27.6,13,27.6,15.406043200903255,0.10005617141723633,0.16354107856750488
20250713_194054_745,-90,NO_RADIO,51,27.6,13,27.6,15.511888613308528,0.06733155250549316,0.13507914543151855
20250713_194054_948,-90,NO_RADIO,51,27.6,13,27.6,15.047804737768814,0.07083010673522949,0.16669631004333496
20250713_194055_187,-90,NO_RADIO,51,27.6,13,27.6,14.550416446988748,0.0766458511352539,0.11179614067077637
20250713_194055_376,-90,NO_RADIO,51,27.6,13,27.6,14.240794776273688,0.07702922821044922,0.17846393585205078
20250713_194055_633,-90,NO_RADIO,51,27.6,13,27.6,14.538399775205775,0.07730507850646973,0.10916519165039062
20250713_194055_820,-90,51,51,27.6,13,27.6,13.62102348142227,0.11579203605651855,0.1661360263824463
20250713_194056_103,-90,NO_RADIO,51,27.6,13,27.6,13.443018059547498,0.0678257942199707,0.12038278579711914
20250713_194056_292,-90,NO_RADIO,51,27.6,13,27.6,11.866703673201414,0.0700991153717041,0.16526579856872559
20250713_194056_529,-90,NO_RADIO,51,27.6,13,27.6,11.608287703607502,0.07530450820922852,0.10927581787109375
20250713_194056_714,-90,NO_RADIO,51,27.6,13,27.6,10.047812614525697,0.07481956481933594,0.16463685035705566
