Boresight Angle,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
17,27.58970004336019,18,28.11369038251165,0.0
17,27.58970004336019,18,28.094863882198347,0.0
18,27.58970004336019,18,26.93585506448252,-1.0
18,27.58970004336019,17,28.15655561603554,0.0
18,27.58970004336019,17,28.41769372202624,0.0
19,27.58970004336019,17,27.06325884153732,-1.0
19,27.58970004336019,16,29.043326485415804,0.0
20,27.58970004336019,16,28.556791784385773,0.0
20,27.58970004336019,15,29.65134353807884,0.0
20,27.58970004336019,16,29.73195774202403,0.0
21,27.58970004336019,16,26.567158027233845,-1.0
21,27.58970004336019,15,29.031895009958284,0.0
22,27.58970004336019,15,29.205043171483965,0.0
22,27.58970004336019,15,27.303755481843424,0.0
22,27.58970004336019,14,27.935758967622316,0.0
23,27.58970004336019,14,28.38921512727599,0.0
23,27.58970004336019,14,28.147262710546173,0.0
23,27.58970004336019,14,28.34733481430228,0.0
23,27.58970004336019,14,28.46687728677187,0.0
24,27.58970004336019,14,27.053082558347626,-1.0
-34,28.381512503836436,13,13.89564188871006,1.0
-32,28.381512503836436,51,11.9510877612758,1.0
-31,28.381512503836436,51,28.856899490186493,0.0
-31,28.381512503836436,51,29.544100134104305,0.0
-31,28.381512503836436,51,29.581553000094665,0.0
-31,28.381512503836436,51,29.63113541271473,0.0
-30,28.381512503836436,51,29.693048442780828,0.0
-30,28.381512503836436,50,30.009348294836272,0.0
-30,28.381512503836436,50,29.898932808964368,0.0
-29,28.381512503836436,50,29.940494143169765,0.0
-29,28.381512503836436,50,29.46430506177584,0.0
-29,28.381512503836436,49,30.38243461365782,0.0
-29,28.381512503836436,50,30.55560606922078,0.0
-28,28.381512503836436,50,27.77584878387453,-1.0
-28,28.381512503836436,49,29.405915055344337,0.0
-27,28.381512503836436,49,29.41300698763556,0.0
-27,28.381512503836436,49,28.017781501666924,-1.0
-26,28.381512503836436,48,29.258091726605223,0.0
-26,28.381512503836436,48,29.015867076581024,0.0
-26,28.381512503836436,47,29.4471458099271,0.0
-26,28.381512503836436,47,29.258170062683305,0.0
-25,28.381512503836436,47,27.04627925657804,0.0
-25,28.381512503836436,47,28.5689219803788,0.0
-24,28.381512503836436,47,27.91715739576884,-1.0
-24,28.381512503836436,46,28.37455823441153,0.0
-23,28.381512503836436,46,27.220324834514614,-1.0
-22,28.381512503836436,46,27.10300282146021,-1.0
-22,28.381512503836436,45,28.12379688396597,-1.0
-21,28.381512503836436,45,26.54128132301761,-1.0
-21,28.381512503836436,44,28.986622732736578,0.0
-20,28.381512503836436,44,29.02748324854517,0.0
-20,28.381512503836436,43,29.249709393304208,0.0
-20,28.381512503836436,43,29.0815760453145,0.0
-20,28.381512503836436,43,29.33884325733287,0.0
-19,28.381512503836436,43,28.636900832981503,0.0
-19,28.381512503836436,43,28.38097044503494,-1.0
-18,28.381512503836436,43,26.052156898742183,-1.0
-18,28.381512503836436,42,29.29197043725886,0.0
-17,28.381512503836436,42,29.506665784932693,0.0
-17,28.381512503836436,41,29.415826166552527,0.0
-17,28.381512503836436,41,29.19789971300974,0.0
-16,28.381512503836436,41,29.597675537089195,0.0
-16,28.381512503836436,41,28.730565172813137,0.0
-16,28.381512503836436,41,27.483774021447644,-1.0
-15,28.381512503836436,40,29.518650205866383,0.0
-15,28.381512503836436,40,29.650606004514053,0.0
-15,28.381512503836436,40,29.90395275881553,0.0
-14,28.381512503836436,40,29.64065297015027,0.0
-14,28.381512503836436,39,29.702982203732372,0.0
-14,28.381512503836436,39,29.533369698228192,0.0
-14,28.381512503836436,38,30.73118926833086,0.0
-13,28.381512503836436,39,30.51964774144337,0.0
-13,28.381512503836436,38,30.23012106861764,0.0
-13,28.381512503836436,38,30.062430334954264,0.0
-12,28.381512503836436,38,30.0152533563055,0.0
-12,28.381512503836436,39,29.225785536680554,0.0
-12,28.381512503836436,38,28.94618350787844,0.0
-12,28.381512503836436,38,28.94143573002037,0.0
-11,28.381512503836436,38,27.45357611783588,-1.0
-11,28.381512503836436,37,29.41845998964598,0.0
-10,28.381512503836436,37,29.4913206541072,0.0
-10,28.381512503836436,36,29.89154541494944,0.0
-10,28.381512503836436,36,29.54963855117629,0.0
-9,28.381512503836436,36,29.820225205870152,0.0
-9,28.381512503836436,36,28.89069885399566,0.0
-9,28.381512503836436,36,28.69470917890032,0.0
-8,28.381512503836436,36,28.357000998224837,0.0
-8,28.381512503836436,36,27.439149846137678,-1.0
-8,28.381512503836436,35,28.46911575476401,0.0
