Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_024633_970,-5,37,37,7.3,13.110493789545076,-82.78598022460938,-82.78598022460938,0.1022038459777832,0.2610349655151367,37,37.0,OffsetFailed,2,35,4.4,19.76623361626757,-2.0,[],0.1018695831298828,0.0504863262176513,0.050473928451538,0.0567555427551269,0.0006730556488037
20250724_024634_335,-5,36,36,5.8,19.2057836982615,-83.12972106933594,-83.12972106933594,0.1010873317718505,0.2609295845031738,36,36.0,OffsetFailed,2,36,5.8,19.204491637891863,0.0,[],0.1007719039916992,0.0504405498504638,0.0504684448242187,0.0567455291748046,0.0006575584411621
20250724_024635_451,-4,35,35,4.4,17.147963199195118,-81.142289352417,-81.142289352417,0.1040561199188232,0.2609219551086426,35,35.0,OffsetFailed,2,34,2.9,21.3786154170907,-1.0,[],0.1037507057189941,0.0504934787750244,0.0504496097564697,0.0567409992218017,0.0006823539733886
20250724_024635_063,-4,36,36,5.8,16.982853917419376,-81.40560264587403,-81.40560264587403,0.1258845329284668,0.2610881328582763,36,36.0,OffsetFailed,2,34,2.9,20.72373304414916,-2.0,[],0.125537633895874,0.0505039691925048,0.0504906177520751,0.0567526817321777,0.0007071495056152
20250724_024635_818,-3,35,35,4.4,14.285680437817888,-79.44102478027344,-79.44102478027344,0.1025359630584716,0.2615494728088379,35,35.0,OffsetFailed,2,33,1.5,23.15520998171121,-2.0,[],0.1021933555603027,0.0508439540863037,0.0504918098449707,0.0568289756774902,0.000734806060791
20250724_024636_184,-3,36,36,5.8,14.363538478203154,-88.14831199645997,-88.14831199645997,0.1021585464477539,0.2611875534057617,36,36.0,OffsetFailed,2,34,2.9,14.243912438141123,-2.0,[],0.1018502712249755,0.0504331588745117,0.0504636764526367,0.0567786693572998,0.0006887912750244
20250724_024637_277,-2,35,35,4.4,11.321035745979133,-89.81240844726562,-89.81240844726562,0.1046292781829834,0.2611839771270752,35,35.0,OffsetFailed,2,33,1.5,11.930861445165462,-2.0,[],0.1042907238006591,0.0504934787750244,0.0504884719848632,0.0568175315856933,0.0006561279296875
20250724_024636_913,-2,35,35,4.4,10.360026199494484,-83.74089050292969,-83.74089050292969,0.1017313003540039,0.261197566986084,35,35.0,OffsetFailed,2,33,1.5,17.953094258887674,-2.0,[],0.1014108657836914,0.0504655838012695,0.0504348278045654,0.0567719936370849,0.0008769035339355
20250724_024638_374,-1,34,34,2.9,15.144612057901496,-80.5526237487793,-80.5526237487793,0.1014063358306884,0.261627197265625,34,34.0,OffsetFailed,2,32,0.0,21.873638069014103,-2.0,[],0.1011066436767578,0.050462007522583,0.050487995147705,0.0567476749420166,0.0006768703460693
20250724_024638_010,-1,34,34,2.9,14.648117129964106,-81.47827911376953,-81.47827911376953,0.1014041900634765,0.2610142230987549,34,34.0,OffsetFailed,2,32,0.0,20.95840780355288,-2.0,[],0.1010537147521972,0.0504829883575439,0.0504753589630126,0.0567314624786376,0.0006690025329589
20250724_024639_108,0,33,33,1.5,14.953483524128686,-80.18040351867675,-80.18040351867675,0.1006772518157959,0.260967493057251,33,33.0,OffsetFailed,2,31,-1.5,21.7835104704578,-2.0,[],0.1003351211547851,0.0504751205444335,0.0504481792449951,0.0567104816436767,0.0007736682891845
20250724_024638_738,0,33,33,1.5,19.25383847107589,-84.59157218933106,-84.59157218933106,0.1067457199096679,0.2613019943237304,33,33.0,OffsetFailed,2,33,1.5,17.888655852919086,0.0,[],0.1064302921295166,0.050464391708374,0.050462007522583,0.0567247867584228,0.0007660388946533
20250724_024640_560,1,32,32,0.0,17.943229263888398,-82.4245376586914,-82.4245376586914,0.1049339771270752,0.2612264156341553,32,32.0,OffsetFailed,2,31,-1.5,20.066987503305697,-1.0,[],0.1045835018157959,0.0504980087280273,0.0504908561706543,0.0568318367004394,0.0006966590881347
20250724_024639_833,1,33,33,1.5,12.965238123602049,-82.4018165588379,-82.4018165588379,0.0992956161499023,0.2610766887664795,33,33.0,OffsetFailed,2,31,-1.5,19.649462088334204,-2.0,[],0.098996877670288,0.0504317283630371,0.0505101680755615,0.0567729473114013,0.000711441040039
20250724_024640_928,2,32,32,0.0,15.500905690803847,-82.94998817443847,-82.94998817443847,0.1027054786682128,0.2609474658966064,32,32.0,OffsetFailed,2,30,-2.9,17.857639485988713,-2.0,[],0.1023991107940673,0.0504627227783203,0.0504546165466308,0.0567340850830078,0.0007016658782958
20250724_024641_293,2,32,32,0.0,15.609465985692964,-81.78586921691894,-81.78586921691894,0.1016595363616943,0.260939359664917,32,32.0,OffsetFailed,2,30,-2.9,20.32433300800767,-2.0,[],0.1013257503509521,0.0504934787750244,0.0505037307739257,0.0567178726196289,0.0007014274597167
